PSML_position_x,PSML_position_y,PSML_position_z,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z,PSMR_gripper_angle,Y
0.068479,0.045822,-0.052744,-0.00256,-0.0008699999999999,-0.0007,-0.26478,0.016396,0.040053,-0.0337649999999999,6.00000000000253e-05,-0.00072,0.0005099999999999,-0.0600259999999999,
0.068421,0.045822,-0.052773,-0.00256,-0.0005099999999999,-0.00065,-0.264126,0.016397,0.040048,-0.033756,0.0001099999999999,-0.00051,0.00035,-0.060189,
0.0684429999999999,0.04582,-0.052774,-0.0009399999999999,-0.0001299999999999,-0.0004099999999999,-0.273597,0.016402,0.0400509999999999,-0.033759,0.00011,-0.0001499999999999,0.00015,-0.0605159999999999,
0.068504,0.045824,-0.052769,0.0002499999999999,1.9999999999950613e-05,-0.00025,-0.286007,0.016408,0.040055,-0.033763,0.0001199999999999,2.000000000002e-05,2.000000000002e-05,-0.061332,
0.0685409999999999,0.045823,-0.052783,0.0012,1.000000000001e-05,-9.999999999996124e-05,-0.29058,0.016413,0.040055,-0.0337639999999999,0.00016,7.000000000000062e-05,-8.000000000001062e-05,-0.061495,
0.0686259999999999,0.045769,-0.0528289999999999,0.00183,-0.00051,-0.0005499999999999,-0.314256,0.01644,0.040053,-0.033767,0.0003799999999999,1.9999999999950613e-05,-8.000000000001062e-05,-0.061659,
0.068727,0.045685,-0.052895,0.00223,-0.0013899999999999,-0.0012599999999999,-0.3402199999999999,0.016457,0.040055,-0.0337649999999999,0.00049,0.0,-2.000000000002e-05,-0.066067,
0.068781,0.045668,-0.052929,0.0023999999999999,-0.00155,-0.00146,-0.35361,0.016462,0.040054,-0.033766,0.00049,-1.000000000001e-05,-1.9999999999950613e-05,-0.070476,
0.0689159999999999,0.045686,-0.052972,0.0028999999999999,-0.0008299999999999,-0.0014299999999999,-0.383002,0.016457,0.040063,-0.0337709999999999,0.0001699999999999,0.0001,-4.000000000004e-05,-0.076028,
0.069035,0.045689,-0.052987,0.00308,3.9999999999970615e-05,-0.00092,-0.417783,0.01645,0.040059,-0.033783,-7.000000000000062e-05,3.9999999999970615e-05,-0.0001799999999999,-0.0765179999999999,
0.069089,0.045679,-0.052988,0.00308,0.0001099999999999,-0.00059,-0.436561,0.016449,0.040053,-0.033789,-0.00013,-1.000000000001e-05,-0.00023,-0.075375,
0.069194,0.045685,-0.052986,0.00278,-9.999999999940612e-06,-0.00014,-0.472975,0.016441,0.040034,-0.033793,-0.0001599999999999,-0.00029,-0.0002199999999999,-0.072762,
0.069314,0.045673,-0.052973,0.00279,-0.00016,0.00014,-0.507429,0.016431,0.040031,-0.033788,-0.0001899999999999,-0.00028,-4.999999999998062e-05,-0.071783,
0.069508,0.045655,-0.052971,0.00419,-0.0002399999999999,0.00017,-0.548742,0.01641,0.040036,-0.033783,-0.0003899999999999,-0.0001699999999999,5.999999999999062e-05,-0.071293,
0.069644,0.045649,-0.052974,0.0044999999999999,-0.00036,0.0001199999999999,-0.56997,0.016403,0.040036,-0.033791,-0.0003799999999999,2.000000000002e-05,1.9999999999950613e-05,-0.0714559999999999,
0.0699289999999999,0.04567,-0.052948,0.00615,-2.9999999999960607e-05,0.0002499999999999,-0.5910340000000001,0.016394,0.040024,-0.033817,-0.00037,-7.000000000000062e-05,-0.00029,-0.067864,
0.070262,0.0457329999999999,-0.052877,0.00754,0.00078,0.0009399999999999,-0.636429,0.01637,0.039998,-0.033872,-0.0004,-0.00038,-0.0008899999999999,-0.064924,
0.070674,0.045814,-0.052707,0.0103,0.0016499999999999,0.00267,-0.709746,0.016357,0.039972,-0.03392,-0.00046,-0.00064,-0.0012899999999999,-0.0677,
0.070913,0.045868,-0.052573,0.0098399999999999,0.0019799999999999,0.00375,-0.750895,0.016356,0.039965,-0.033928,-0.0003799999999999,-0.0005899999999999,-0.00111,-0.073089,
0.071464,0.0459829999999999,-0.052242,0.0120199999999999,0.0025,0.00635,-0.8415219999999999,0.016359,0.039977,-0.033908,-0.00011,-0.00021,-0.00036,-0.078967,
0.07211,0.0461,-0.051815,0.0143599999999999,0.00286,0.0089199999999999,-0.931495,0.016367,0.040006,-0.033849,9.999999999999593e-05,0.0003399999999999,0.00071,-0.08207,
