Frame,Timestamp,PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z
18,1674855037848.61,-26306.0,-13551.083333333336,77897.08333333331,78344.33333333331,13735.5,-24777.91666666667,1.45000004768,1.5399999618499998,-2.793376214183178,-0.7557922638162182,2.3607075367847195,3.6911014231362276,-1.402927883613991,-2.8344708007639987
19,1674855037881.94,-26511.38,-13754.88,78032.46,78555.28,13546.74,-24877.22,1.45000004768,1.5399999618499998,-4.30970761205698,-2.787766416177902,3.4202269417294873,5.180491170478944,-3.2714238676716643,-3.608974807242623
20,1674855037915.2698,-26663.59375,-14124.75,78345.5625,78918.96875,13224.53125,-24931.5,1.4238437823912502,1.53999996185,-4.470246395043964,-6.337904546747453,5.437727340642982,7.010927073333586,-6.003259902196798,-2.761178332179284
21,1674855037948.6,-26790.78947368421,-14421.052631578948,78615.78947368421,79144.05263157895,12975.631578947368,-25024.157894736847,1.41900002956,1.5289473408115792,-4.848385088712072,-8.70056296400758,7.187776392038526,7.997999641957455,-7.599445540674869,-2.4626572374529334
22,1674855037981.93,-27090.32608695652,-14960.326086956518,79041.86956521738,79441.43478260869,12595.41304347826,-25115.369565217392,1.4163913363956522,1.534260874206522,-5.790050077867131,-12.055683073198418,10.095115854562831,8.862445235491643,-9.514231910536614,-2.3817321133676255
23,1674855038015.26,-27368.264705882357,-15711.14705882353,79798.29411764706,79931.20588235294,12075.117647058823,-25217.79411764706,1.3881177025644118,1.5699706393108823,-7.047410406581595,-15.86553775505768,14.528746415874544,10.123365229495963,-11.495268233557999,-2.8632206820290054
24,1674855038048.59,-27600.47619047619,-16130.714285714286,80476.42857142858,80410.42857142858,11628.047619047617,-25370.23809523809,1.35899996758,1.5700000524500002,-8.097679897992517,-17.098325801446865,18.60823939863686,12.665017999866457,-13.477183581167688,-3.4611466888624527
25,1674855038081.92,-27962.272727272728,-16634.109090909093,81640.38181818182,81352.09090909091,10796.636363636364,-25575.236363636363,1.3339090824174544,1.57000005245,-8.72034450085667,-16.73950163008952,25.987745654863556,19.10849630556527,-17.989584494552208,-4.5991321342852025
26,1674855038115.25,-28217.625,-17258.541666666668,83068.75,82593.125,9760.416666666666,-25797.20833333333,1.3015000224158333,1.57000005245,-8.494458979738104,-15.475494230772568,32.707838207786864,26.621859944131497,-23.14933138158676,-5.794723063884905
27,1674855038148.58,-28308.722222222223,-17572.44444444444,83916.11111111111,83307.0,9112.888888888889,-26005.66666666667,1.2990000248,1.57000005245,-7.083178535666122,-14.418746541626222,34.40027005763063,28.96861222840283,-25.15410465789273,-6.354921328169759
28,1674855038181.91,-28452.48888888888,-17918.777777777777,85262.82222222222,84378.02222222222,8038.355555555556,-26197.577777777777,1.2434222194922222,1.57000005245,-4.902650921556291,-12.847966921830727,36.22804058141573,30.262346890873033,-27.585580694607625,-6.224036014896563
29,1674855038215.24,-28787.936170212764,-18311.063829787243,87216.6170212766,85747.17021276595,6753.489361702128,-26506.872340425532,1.1386382884193618,1.57000005245,-5.70367923294343,-10.526274956618652,41.48281991582208,31.543611010668656,-30.07228850600463,-7.097347228702685
30,1674855038248.57,-29313.08695652174,-18542.130434782608,88578.47826086957,86619.34782608696,6110.739130434783,-26720.304347826088,1.0687391602495653,1.57000005245,-10.044638795643255,-9.69783232619394,46.628323691243715,33.12679175137294,-30.024508374871875,-7.147088826952763
31,1674855038281.9,-29626.210526315786,-18695.473684210527,89368.68421052633,87070.15789473684,5805.578947368421,-26810.94736842105,1.05700004101,1.57000005245,-11.738385637254504,-7.767728863973569,41.062687793634815,26.92401904566333,-22.329969095861845,-6.134301598913386
32,1674855038315.23,-29900.234042553187,-18976.72340425532,90602.8510638298,87667.12765957447,5413.510638297872,-26977.978723404256,1.0346595657645319,1.57000005245,-11.124087996385699,-6.657257099818639,33.86570550582419,19.201482634655957,-13.401118289946538,-4.711530579785555
33,1674855038348.5598,-30249.025,-19378.825,92003.675,88382.1,5084.85,-27159.05,0.996999979019,1.57000005245,-9.360343015938176,-8.36780350675189,34.255473145023984,17.629328746684312,-10.2599396788795,-4.3879049311189755
34,1674855038381.89,-30465.75,-19665.83333333333,92718.75,88761.91666666669,4971.833333333333,-27330.25,0.996999979019,1.57000005245,-8.396240231072042,-9.704573657391798,33.50403238308052,16.919292365579754,-8.338294501274707,-5.193546761539229
35,1674855038415.22,-30708.102040816328,-20049.714285714286,93487.69387755102,89193.59183673469,4836.2040816326535,-27518.265306122445,0.9494693911807754,1.57000005245,-8.079494544665371,-10.730986216354893,28.85134826187233,15.26618498161551,-5.773653474350728,-5.403406767072778
36,1674855038448.5498,-30714.93333333333,-20474.433333333334,94513.23333333334,89812.03333333334,4564.4,-27737.46666666667,0.9070000171663334,1.57000005245,-4.659538866817097,-10.95718448149848,25.09810944122277,14.30077519417465,-5.205028213152086,-5.784747639901191
37,1674855038481.88,-30741.46666666667,-20799.966666666667,95147.7,90302.1,4235.4,-27905.43333333333,0.90600001812,1.57000005245,-2.7574364479611706,-11.342472107243232,24.291947381125713,15.403382870705414,-7.365072488309159,-5.752411148707314
38,1674855038515.21,-30985.543478260868,-21316.84782608696,95743.15217391304,90981.56521739133,3680.304347826087,-28067.0,0.9568912995899128,1.57000005245,-2.7746858402508336,-12.672604073336393,22.55686090270703,17.88152535004008,-11.560146168205542,-5.487898922877508
39,1674855038548.5398,-31118.42857142857,-21917.35714285714,96173.07142857145,91533.0,3091.285714285714,-28320.0,1.034571443287143,1.57000005245,-4.035356192522331,-14.430691329672001,16.600033540939254,17.211387858792353,-14.732624735569834,-5.825920803130682
40,1674855038581.87,-31291.6,-22540.485714285718,96428.77142857145,91946.68571428572,2530.6857142857143,-28639.142857142866,1.0757142611934285,1.57000005245,-5.501867674315054,-17.40688871147728,12.811978217275685,16.44747343198075,-17.048809862243967,-7.337806976194172
41,1674855038615.2,-31548.191489361703,-23382.468085106382,96800.10638297873,92677.0,1717.4468085106382,-29101.0,1.0816808279546808,1.57000005245,-5.627045471679513,-20.65828001926875,10.570614339266735,16.956067278009957,-19.630554091365543,-10.34103885344088
42,1674855038648.53,-31695.627906976744,-23867.116279069767,97191.55813953489,93487.48837209302,1008.5581395348836,-29731.627906976744,1.05700004101,1.57000005245,-5.772563193051124,-19.49951164299277,10.185870294050869,19.54681578310698,-20.829328367977173,-14.117668202449229
