Frame,Timestamp,PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z
18,1674859267114.28,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
19,1674859267147.61,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
20,1674859267180.94,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
21,1674859267214.27,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609000005,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
22,1674859267247.6,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
23,1674859267280.93,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
24,1674859267314.26,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
25,1674859267347.5898,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
26,1674859267380.9202,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
27,1674859267414.25,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999608999998,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
28,1674859267447.5798,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
29,1674859267480.9102,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
30,1674859267514.24,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
31,1674859267547.5698,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.6299999952299995,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
32,1674859267580.9,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609000005,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
33,1674859267614.23,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
34,1674859267647.5598,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.62999999523,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
35,1674859267680.89,-25778.0,-13444.0,77572.0,77862.0,14004.0,-24488.0,1.4659999609,1.6299999952299995,7.632783294297951e-17,0.0,0.0,0.0,0.0,0.0
