Frame,Timestamp,PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z
18,1674858010878.28,-25943.545454545456,-13507.0,77611.0,77861.0,13915.181818181818,-24489.272727272728,1.57000005245,1.57000005245,-0.46362638942984785,-0.0025002441644691857,0.20627083760444465,-0.030003028537636006,0.36185438750471,-0.06273355886930179
19,1674858010911.61,-25957.195652173912,-13507.0,77616.93478260869,77859.45652173914,13928.0,-24491.478260869564,1.5563043589152172,1.57000005245,-0.4809705767240409,5.782411586589357e-19,0.21247271761947364,-0.0454393185964821,0.4900487246647682,-0.08479104888942333
20,1674858010944.94,-25981.043478260868,-13507.91304347826,77629.5,77859.0,13932.0,-24492.0,1.5399999618500002,1.57000005245,-0.5053949753461728,-0.009131393400560317,0.24338832515540765,-0.036549057229443654,0.41149502351494355,-0.06818851543387565
21,1674858010978.27,-25988.33333333333,-13509.0,77636.0,77859.0,13932.0,-24492.0,1.5399999618499998,1.57000005245,-0.4479242773342693,-0.02000202020260817,0.25002533693744255,-0.020001986759180832,0.16819853681969044,-0.0272754291061716
22,1674858011011.6,-25991.948717948722,-13509.025641025639,77638.43589743589,77859.05128205128,13932.0,-24492.0,1.53999996185,1.57000005245,-0.3475663466244747,-0.02025845550150616,0.21503306799570274,-0.004052826102502366,0.04000419965963231,-0.005217939086050061
23,1674858011044.93,-25998.934782608696,-13510.04347826087,77644.67391304347,77860.36956521738,13949.0,-24494.10869565217,1.5399999618500002,1.57000005245,-0.17893102893995227,-0.02130650309574436,0.15175440713492536,0.013697086343942297,0.17001784855343707,-0.021089170472687126
24,1674858011078.26,-26006.956521739125,-13511.0,77651.26086956523,77862.04347826086,14019.91304347826,-24508.78260869565,1.5399999618500002,1.57000005245,-0.1862505843199651,-0.020002027879487703,0.15262405727927839,0.030437851619172396,0.8792175411185149,-0.16784263230024213
25,1674858011111.5898,-26013.703703703704,-13512.0,77657.70370370371,77868.29629629629,14098.037037037036,-24525.03703703704,1.53999996185,1.57000005245,-0.21757211078489447,-0.029746642495497768,0.19269780969433525,0.09245972630248761,1.6605395002517938,-0.3304039814807973
26,1674858011144.9202,-26025.18604651163,-13513.67441860465,77668.25581395348,77888.27906976744,14180.79069767442,-24535.744186046508,1.5399999618500002,1.57000005245,-0.26253793066149905,-0.03631290022018709,0.23584173952731516,0.27912129774370553,2.3181330178879835,-0.41639597396174527
27,1674858011178.25,-26036.82608695652,-13515.82608695652,77682.04347826086,77916.0,14217.260869565218,-24536.956521739125,1.5399999618500002,1.57000005245,-0.29872533036340426,-0.04826569122176947,0.3078568600548993,0.5396189394120375,1.9736733348080548,-0.28176714190967517
28,1674858011211.5798,-26034.5,-13518.0,77688.25,77927.25,14222.0,-24536.5,1.53999996185,1.57000005245,-0.20798311499209965,-0.06000605416537302,0.3054934879535699,0.5895960056736057,1.2397476557062914,-0.11464009602889437
