Frame,Timestamp,PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z
18,1674855857526.28,-25872.4375,-13490.6875,77574.25,77841.5,15258.875,-24792.0625,1.48000001907,1.57000005245,0.3056559345865117,-0.03687874477338887,0.09250940953946103,0.5334536600794003,5.3724938832411615,-1.2351501173875568
19,1674855857559.61,-25874.276595744683,-13492.680851063833,77585.91489361702,77856.27659574468,15314.574468085106,-24825.340425531915,1.4800000190700002,1.57000005245,0.26866136438868293,-0.055414065501639166,0.20396923045779747,0.4800143988484194,4.142768473720197,-1.382343747084627
20,1674855857592.94,-25944.58695652174,-13495.869565217392,77625.69565217392,77880.43478260869,15444.195652173914,-24852.043478260868,1.48000001907,1.57000005245,-0.5827058138556692,-0.06773475853386086,0.5505615885518257,0.5079475870244724,2.8141763222524063,-1.0353765592735582
21,1674855857626.27,-26000.0,-13498.0,77650.5,77890.5,15547.0,-24883.0,1.48000001907,1.57000005245,-1.2757547356487036,-0.07313237540645628,0.7625773843833771,0.4900496259930121,2.8815408952138797,-0.9094657710120367
22,1674855857659.6,-26065.2,-13499.844444444443,77678.44444444444,77903.82222222222,15654.666666666664,-24910.844444444443,1.4520000457726667,1.57000005245,-1.909425660128102,-0.07164316378173465,0.9253887922090618,0.4755044703430767,3.4012636352032914,-0.8551256534852186
23,1674855857692.93,-26234.5,-13505.071428571433,77751.21428571429,77929.54761904763,15866.428571428567,-24966.190476190477,1.45000004768,1.5700000524500002,-2.8994259830554863,-0.0920280035260758,1.2553142550683711,0.4911782153942004,4.222757082701432,-1.141585516346705
24,1674855857726.26,-26381.0,-13511.592592592593,77832.96296296296,77943.55555555556,16050.666666666664,-25046.85185185185,1.45000004768,1.57000005245,-3.810384509066441,-0.13593958415189142,1.824813164422168,0.5306092572480595,5.037174089732386,-1.6386826002062154
25,1674855857759.5898,-26453.625,-13513.9375,77892.9375,77941.125,16117.875,-25129.25,1.45000004768,1.57000005245,-3.884647081043067,-0.14094487434358025,2.1451497663469143,0.3730659163404095,4.63255616593215,-2.184278953791428
26,1674855857792.9202,-26542.884615384613,-13503.769230769229,78027.69230769231,77944.15384615384,16151.923076923076,-25223.55769230769,1.4255577257007692,1.57000005245,-3.0841461216030694,0.013022333156523588,2.765044766182124,0.14607613641255154,2.8552263146611345,-2.573922648534343
27,1674855857826.25,-26620.33333333333,-13478.916666666664,78196.375,77953.5,16155.041666666664,-25274.20833333333,1.41900002956,1.57000005245,-2.393571535274861,0.3267920764175302,3.634482178756103,0.09945444149954989,1.0438545963829953,-2.273789702472207
28,1674855857859.5798,-26693.66666666667,-13481.424242424244,78333.87878787878,77965.87878787878,16157.333333333336,-25266.15151515152,1.4099091291387875,1.57000005245,-2.4006556122980185,0.3251652221278775,4.409856086289851,0.2475634243934639,0.3946197727402381,-1.3691450691549638
29,1674855857892.9102,-26808.52,-13512.52,78580.4,77982.22,16162.34,-25236.08,1.38900005817,1.5700000524499995,-2.6566159131990728,-0.08751232393838902,5.527621100563027,0.3806991104841493,0.10417943411037434,-0.1252406301482146
30,1674855857926.24,-26885.0,-13544.0,78770.5,77985.0,16163.0,-25233.5,1.38900005817,1.57000005245,-2.646927716640502,-0.6508971093628895,5.741816663836843,0.3150306781197651,0.0795909553644681,0.40712166775175135
31,1674855857959.5698,-26949.277777777777,-13609.907407407407,79101.24074074074,77986.24074074074,16163.259259259261,-25229.66666666667,1.38900005817,1.57000005245,-2.5563626535220667,-1.2849619902895801,7.674389074814042,0.2036385127376298,0.05926474743552607,0.3648823849672406
32,1674855857992.9,-27046.421052631584,-13711.210526315792,79861.57894736843,77988.23684210527,16164.368421052632,-25214.39473684211,1.3740000128749998,1.57000005245,-2.3792531857497057,-1.9871064501378293,12.81307890244125,0.06017459199642383,0.02028625894191899,0.21687428048374557
33,1674855858026.23,-27172.0,-13760.916666666664,80316.16666666669,77988.58333333331,16164.583333333336,-25209.16666666667,1.35899996758,1.57000005245,-2.870285009609805,-2.169383348218748,15.458200483276485,0.0358369239168476,0.01583489870089372,0.2433573794935715
34,1674855858059.5598,-27207.29787234043,-13857.404255319148,80886.85106382979,77978.23404255319,16159.893617021276,-25234.276595744683,1.35899996758,1.57000005245,-2.5804555288015814,-2.4752172672577006,17.857888967922037,-0.08007555983874085,-0.033660053015540835,-0.046105632582518784
35,1674855858092.89,-27293.244444444445,-13835.911111111109,81757.6888888889,77965.37777777777,16154.222222222224,-25246.93333333333,1.3296666622208893,1.57000005245,-2.4684775659557254,-1.2471347061558473,18.96299307255898,-0.22861372691849632,-0.10147224122377281,-0.3254195834676253
36,1674855858126.22,-27405.0,-13746.0,82196.0,77969.0,16156.0,-25221.0,1.32899999619,1.57000005245,-2.3302301471026206,0.149174166752334,18.800211094009867,-0.19585321770821099,-0.08584205986816008,-0.11834672993035456
37,1674855858159.55,-27588.81632653061,-13678.714285714286,82657.0,77976.08163265306,16156.755102040815,-25224.591836734693,1.3562245271606124,1.57000005245,-3.815557154905207,1.7870742150149324,17.703218191603643,-0.02152620116933644,-0.03138821505998568,0.09685704879606716
