PSML_position_x,PSML_position_y,PSML_position_z,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSML_orientation_x,PSML_orientation_y,PSML_orientation_z,PSML_orientation_w,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z,PSMR_orientation_x,PSMR_orientation_y,PSMR_orientation_z,PSMR_orientation_w,PSMR_gripper_angle,L_Gripper_X,L_Gripper_Y,R_Gripper_X,R_Gripper_Y,Needle_X,Needle_Y,Thread_1_X,Thread_1_Y,Thread_2_X,Thread_2_Y,Thread_3_X,Thread_3_Y,Thread_4_X,Thread_4_Y,Thread_5_X,Thread_5_Y
0.083453,0.047929,-0.021984,3.0000000000030006e-05,-0.00018999999999998182,0.00018000000000000654,0.17055207779409803,0.0077435543094814,-0.852039191459008,0.494854768942012,-0.653181,0.028529000000000002,0.0323,0.000767,0.00031999999999997314,-0.00019999999999999185,0.0004299999999999996,0.32953660247112704,-0.16962364394271803,0.8028090581997209,0.46704503328892893,-0.9245120000000001,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
0.083452,0.04792,-0.021972,1.0000000000010001e-05,-0.0002900000000000125,0.00025000000000000716,0.17052029212695402,0.0077162067866898,-0.852046240505249,0.49485401298426895,-0.653181,0.028529000000000002,0.0323,0.000773,0.00015999999999998654,-8.999999999995123e-05,0.0002800000000000003,0.32952886729839603,-0.16961380497731302,0.8028127895812951,0.46704765031295503,-0.9241860000000001,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
0.08344800000000001,0.04791,-0.021955000000000002,2.9999999999891225e-05,-0.00031999999999997314,0.0003799999999999984,0.17049344882351,0.0076815899855745,-0.852030670903952,0.49489060702595705,-0.653018,0.028535,0.03229,0.000772,2.0000000000020002e-05,-0.00015000000000001124,0.0001299999999999999,0.329510267319796,-0.16960260589120998,0.802846861134506,0.46700627123435795,-0.924349,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
0.083437,0.047886,-0.021933,-0.00016000000000002124,-0.00043000000000001365,0.0005099999999999896,0.17048419493695002,0.0076327988957454,-0.85195735678577,0.495020748935154,-0.652691,0.028532,0.032272,0.000778,2.999999999999531e-05,-0.00028000000000000247,0.00011000000000000049,0.32949812203572304,-0.16957450796139598,0.8028276049425301,0.46705814473877005,-0.9245120000000001,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
0.083441,0.047875,-0.021917,-0.00010999999999997125,-0.00044999999999996437,0.0005499999999999949,0.17047036732816503,0.0075973720774738,-0.851923289194686,0.4950846827849,-0.652855,0.028537,0.032275,0.000786,8.000000000001062e-05,-0.00025000000000004186,0.0001299999999999999,0.329485571026247,-0.169564088551632,0.802844353288292,0.467041992493466,-0.9245120000000001,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
0.083449,0.047863,-0.021902,1.0000000000010001e-05,-0.00046999999999998426,0.0005299999999999749,0.170486238046371,0.0075633294699201,-0.8518437041715642,0.49521666202521397,-0.652691,0.028551,0.032282,0.000795,0.00015999999999998654,-8.000000000001062e-05,0.00023000000000000014,0.329468562884029,-0.169553064399941,0.8028747014132209,0.467005822505837,-0.9245120000000001,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
0.083451,0.047863,-0.021891,0.00014000000000000123,-0.0002299999999999525,0.0004200000000000037,0.170469809368072,0.007545789220044,-0.8518407922723841,0.49522759392002597,-0.652692,0.028558,0.032267000000000004,0.000802,0.00026000000000001716,-5.000000000005e-05,0.00023999999999999933,0.32943642813468604,-0.16952305964262304,0.802910637512532,0.46697760142910794,-0.924839,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
0.083453,0.047882999999999995,-0.021884,0.00011999999999998125,8.000000000001062e-05,0.0003299999999999831,0.17050820754089502,0.0075489911378751,-0.8517800191119571,0.49531884976813206,-0.652691,0.028564999999999997,0.032249,0.000813,0.00028000000000000247,-0.00025999999999998247,0.0002700000000000001,0.329411527321385,-0.169484238970767,0.8029091710064341,0.46701177878299,-0.924676,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
0.08346,0.047896,-0.021884999999999998,0.00011000000000011001,0.0003299999999999831,0.00016999999999999654,0.17053189433322002,0.0075579104725038,-0.8517579911438321,0.495348438502674,-0.652365,0.028568,0.032260000000000004,0.0008210000000000001,0.00016999999999999654,-0.00022000000000001183,0.0002599999999999998,0.329402711208868,-0.16948327665246804,0.802934068974085,0.46697553861429403,-0.924676,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
0.083489,0.047908,-0.021888,0.00037999999999996365,0.00044999999999996437,2.999999999999531e-05,0.17063690118391198,0.0075679400367388,-0.851614696242996,0.49555845606840604,-0.652201,0.028575,0.032289,0.000851,0.00016999999999999654,0.00022000000000001183,0.00049,0.32936672763934,-0.169461987717579,0.8029976740345649,0.466899270654858,-0.924676,212.05954545454549,152.4131818181818,575.9640909090909,308.30136363636365,486.59,375.905,489.88,401.59,471.9766442169915,428.72238770573523,448.016488372921,451.12190235131396,419.84162902968706,467.962237782596,389.25,480.0
