MTML_position_x	MTML_position_y	MTML_position_z	MTML_orientation_x	MTML_orientation_y	MTML_orientation_z	MTML_orientation_w	MTML_gripper_angle	MTMR_position_x	MTMR_position_y	MTMR_position_z	MTMR_orientation_x	MTMR_orientation_y	MTMR_orientation_z	MTMR_orientation_w	MTMR_gripper_angle	PSML_position_x	PSML_position_y	PSML_position_z	PSML_orientation_x	PSML_orientation_y	PSML_orientation_z	PSML_orientation_w	PSML_gripper_angle	PSMR_position_x	PSMR_position_y	PSMR_position_z	PSMR_orientation_x	PSMR_orientation_y	PSMR_orientation_z	PSMR_orientation_w	PSMR_gripper_angle
0.0482341	0.041238199999999996	0.35773	-0.302528	-0.565016	0.29749699999999996	0.707622	NaN	-0.0768468	0.062090099999999995	0.347287	0.431864	0.24416100000000002	0.7333890000000001	0.464779	NaN	-0.0884798	0.0313302	0.0308272	0.45175299999999996	0.22861900000000002	0.742848	0.437983	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
0.0482341	0.041238199999999996	0.35773	-0.302564	-0.564919	0.29743600000000003	0.7077100000000001	NaN	-0.0768516	0.062072300000000004	0.347285	0.43187600000000004	0.244166	0.733366	0.464801	NaN	-0.0884798	0.0313302	0.0308272	0.45175299999999996	0.22861900000000002	0.742848	0.437983	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
0.0482341	0.041238199999999996	0.35773	-0.302564	-0.564919	0.29743600000000003	0.7077100000000001	NaN	-0.0768516	0.062072300000000004	0.347285	0.43187600000000004	0.244166	0.733366	0.464801	NaN	-0.0884798	0.0313302	0.0308272	0.45175299999999996	0.22861900000000002	0.742848	0.437983	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
0.048231199999999995	0.0412319	0.357725	-0.302566	-0.564912	0.29743200000000003	0.707717	NaN	-0.0768605	0.0620701	0.347283	0.431883	0.244164	0.733358	0.464808	NaN	-0.0884798	0.0313302	0.0308272	0.45175299999999996	0.22861900000000002	0.742848	0.437983	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
0.048231199999999995	0.0412319	0.357725	-0.302566	-0.564912	0.29743200000000003	0.707717	NaN	-0.0768596	0.0620726	0.347273	0.431892	0.244157	0.73336	0.464801	NaN	-0.0884798	0.0313302	0.0308272	0.45175299999999996	0.22861900000000002	0.742848	0.437983	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
0.048231199999999995	0.0412319	0.357725	-0.302566	-0.564912	0.29743200000000003	0.707717	NaN	-0.07685800000000001	0.0620635	0.34727800000000003	0.43188999999999994	0.24416500000000002	0.733352	0.464812	NaN	-0.0884798	0.0313302	0.0308272	0.45175299999999996	0.22861900000000002	0.742848	0.437983	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
0.0482283	0.0412257	0.357719	-0.30256900000000003	-0.564905	0.297427	0.707723	NaN	-0.0768605	0.0620701	0.347283	0.431883	0.244164	0.733358	0.464808	NaN	-0.0884798	0.0313302	0.0308272	0.45175299999999996	0.22861900000000002	0.742848	0.437983	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
0.04823	0.0412344	0.357714	-0.30256	-0.564916	0.297421	0.70772	NaN	-0.0768468	0.0620591	0.34727399999999997	0.431889	0.244167	0.733352	0.46481000000000006	NaN	-0.0884798	0.0313302	0.0308272	0.45175299999999996	0.22861900000000002	0.742848	0.437983	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
0.048231800000000005	0.0412431	0.357709	-0.302552	-0.564928	0.297415	0.707717	NaN	-0.0768355	0.0620548	0.34726999999999997	0.431841	0.244167	0.733401	0.46477700000000005	NaN	-0.0884798	0.0313302	0.0308272	0.45175299999999996	0.22861900000000002	0.742848	0.437983	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
0.0482347	0.041249400000000006	0.357714	-0.30254899999999996	-0.5649350000000001	0.297419	0.707711	NaN	-0.0768444	0.06205259999999999	0.347269	0.431849	0.244166	0.733394	0.464783	NaN	-0.0884799	0.0313301	0.030827499999999997	0.45169499999999996	0.22866599999999998	0.742827	0.438054	NaN	0.0723375	0.029234800000000002	0.0332642	-0.279238	-0.587801	0.263467	0.71211	NaN
