PSML_position_x,PSML_position_y,PSML_position_z,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSML_orientation_x,PSML_orientation_y,PSML_orientation_z,PSML_orientation_w,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z,PSMR_orientation_x,PSMR_orientation_y,PSMR_orientation_z,PSMR_orientation_w,PSMR_gripper_angle
0.075429,0.012567,-0.057883000000000004,-2.0000000000020002e-05,-9.999999999999593e-05,-0.00014999999999994185,-0.105969331941983,-0.257475460419391,0.298259531995538,0.9129721460939508,-0.747727,0.045224,0.019584999999999998,-0.014247999999999999,-0.00017999999999997185,-0.00023999999999999721,-0.00016000000000000392,-0.37842419456717996,0.33348361694776596,-0.195906922345561,0.840954388757623,-0.8877719999999999
0.075441,0.012565,-0.057886,0.00010999999999997125,-9.000000000000327e-05,-0.00014000000000000123,-0.105967540222589,-0.257482664466565,0.29827023315329604,0.912966826304795,-0.7478899999999999,0.045224,0.019581,-0.014244999999999999,-0.00012999999999999123,-0.00014999999999997654,-0.00011999999999999858,-0.377365150001935,0.332858527691588,-0.196700988611192,0.8414924035226851,-0.8877719999999999
0.075447,0.012562,-0.057901,0.00017000000000003124,-9.999999999999593e-05,-0.00025999999999998247,-0.10595751280967301,-0.25748118831869,0.29825845744234303,0.9129722535243321,-0.747727,0.045218,0.019581,-0.014244,-5.999999999999062e-05,-7.000000000000062e-05,0.0,-0.377475322026311,0.332819311859447,-0.19669276064292104,0.841460423802096,-0.886792
0.075462,0.012544,-0.057937,0.0003300000000000525,-0.00023000000000000448,-0.0005400000000000543,-0.10513121921563498,-0.25790862660578,0.29557710309088,0.91381876933939,-0.742501,0.045219,0.019573,-0.014237999999999999,-4.999999999998062e-05,-0.00012000000000001591,9.999999999999593e-05,-0.37750013049045505,0.332829470440265,-0.19670496018763897,0.841442424485313,-0.8861389999999999
0.075472,0.012532,-0.057964999999999996,0.00031000000000003247,-0.00033000000000000043,-0.0007900000000000268,-0.104310564882509,-0.25830602943423897,0.292852611585895,0.914677346991348,-0.726662,0.045219,0.019569,-0.014234,-4.999999999998062e-05,-0.00012000000000001591,0.00011000000000000591,-0.377509722468448,0.332832939511609,-0.19671317382342202,0.8414348287670129,-0.885976
0.075472,0.012494,-0.058036000000000004,0.00024999999999997247,-0.0006800000000000035,-0.0013499999999999626,-0.10348116971697999,-0.258740839318778,0.29019247296691303,0.9154961246318671,-0.6900850000000001,0.045226999999999996,0.01955,-0.014218000000000001,9.000000000002062e-05,-0.0003099999999999978,0.0002599999999999998,-0.37755974841113393,0.33283930605406503,-0.196749608047543,0.8414013456480258,-0.8854860000000001
0.075472,0.012473,-0.058107000000000006,9.999999999996124e-05,-0.0007099999999999987,-0.0016999999999999654,-0.10345138410872999,-0.258698483418568,0.29009465501899,0.915542460474845,-0.683227,0.04523,0.019516,-0.014185,0.00010999999999997125,-0.0005700000000000148,0.0005300000000000096,-0.377648585339949,0.332858350451106,-0.19682496975948602,0.841336315515312,-0.8849959999999999
0.075465,0.012485,-0.058137,-6.999999999993123e-05,-0.00047000000000000167,-0.0017199999999999856,-0.10339494244161399,-0.258719977473667,0.290076288155452,0.915548582098992,-0.683553,0.045233999999999996,0.019476,-0.014152000000000001,0.00015000000000001124,-0.0009299999999999931,0.0008200000000000048,-0.37774605325056604,0.3328874347504289,-0.196917020638013,0.8412595093203691,-0.884833
0.075472,0.012491,-0.058135,0.0,-2.999999999999531e-05,-0.0009900000000000186,-0.103370101809888,-0.258778739315538,0.29015486157076004,0.9155098811246809,-0.684696,0.045236,0.019456,-0.014135,8.999999999995123e-05,-0.0009400000000000033,0.0008299999999999974,-0.3777947431307179,0.33290172889117403,-0.196963239836202,0.841221167777707,-0.884833
0.07547899999999999,0.012493,-0.058123,7.000000000006999e-05,0.00020000000000000917,-0.00016000000000002124,-0.103379364018813,-0.258786996265874,0.290180807337375,0.915498277831139,-0.6876359999999999,0.045238,0.019428,-0.014112000000000001,8.000000000001062e-05,-0.0008799999999999779,0.0007300000000000015,-0.37786338252152896,0.33292180637625607,-0.197027979572347,0.8411672308490141,-0.884343
0.07547899999999999,0.012499,-0.058123,0.00014000000000000123,0.00014000000000000123,0.00014000000000000123,-0.10336556027856199,-0.25880129535574803,0.290193171762141,0.915491875186839,-0.689595,0.045239999999999995,0.019406,-0.0141,5.999999999999062e-05,-0.0007000000000000063,0.0005199999999999996,-0.377910418092909,0.332943908031794,-0.197080283460302,0.841125098824525,-0.884016
0.07547899999999999,0.012501,-0.058129999999999994,7.000000000006999e-05,9.999999999999593e-05,4.999999999998062e-05,-0.103354518509709,-0.258804570040908,0.29018764135904307,0.9154939490963571,-0.690248,0.045239999999999995,0.019402000000000003,-0.014096000000000001,4.0000000000040004e-05,-0.0005400000000000196,0.0003900000000000084,-0.37792033127385705,0.33294673021982396,-0.197089574062812,0.8411173508146909,-0.883526
0.07547899999999999,0.012508,-0.058137,0.0,0.0001499999999999939,-0.00014000000000000123,-0.10332911734813699,-0.25882247583466395,0.29019254879280604,0.915490198820285,-0.691555,0.045233999999999996,0.019403999999999998,-0.014091999999999999,-3.9999999999970615e-05,-0.00023999999999999721,0.00019999999999999185,-0.377919780465641,0.33294809685126897,-0.19709010489623102,0.841116932945659,-0.8833629999999999
