Pre-Shift Frame,Frame,Timestamp,PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z
18,2227,1674854349955.61,-40828.170212766,-44476.914893617,114183.212765957,125025.70212766,19549.4042553191,-43914.4468085106,1.3748297640617,-0.173999994993,5.84171292308244,-0.287668568080209,0.591432955779409,-0.713997342006713,13.0121259606996,6.12426237716373
19,2228,1674854349988.94,-40554.5238095238,-44468.0714285714,114155.976190476,125030.047619048,20804.380952381,-43505.8571428572,1.35899996758,-0.173999994993,6.61480292617556,-0.0663451169469454,0.0110109849772338,0.0798593075433944,22.7998780012847,7.59157486530437
20,2229,1674854350022.27,-40405.9583333333,-44464.5416666667,114091.083333333,125032.208333333,21788.5833333333,-43195.1666666667,1.35899996758,-0.173999994993,6.64262386650743,0.0561279238970944,-0.820787278288758,0.0867075037846862,29.3703319182372,9.28927041779055
21,2230,1674854350055.6,-40338.56,-44528.56,113975.12,125043.96,22544.4,-42999.12,1.35899996758,-0.173999994993,4.89660035585358,-0.516500855583685,-2.08113289028415,0.182596873436925,29.9529744688606,9.15419197830965
22,2231,1674854350088.93,-40239.7954545455,-44788.2272727273,113684.886363636,125080.977272727,23600.3636363636,-42749.8636363636,1.35899996758,-0.173999994993,3.14759816690793,-3.20189014673888,-4.71137962364264,0.50934898941925,27.9626349150995,7.56069167172918
23,2232,1674854350122.26,-40135.6875,-45275.375,113210.625,125135.53125,24713.90625,-42525.90625,1.35899996758,-0.173999994993,2.70297953066898,-8.10914426254869,-8.80546450155412,1.03333278958278,29.2561635630965,6.69327606490534
24,2233,1674854350155.59,-40034.3684210526,-45687.8421052632,112816.210526316,125173.631578947,25421.2631578947,-42456.1578947368,1.35899996758,-0.173999994993,3.0422275381076,-11.5940025132004,-11.5902767501959,1.29684793713485,28.7715704656392,5.43017471018726
25,2234,1674854350188.92,-39842.9787234042,-46268.2553191489,112252.29787234,125242.085106383,26273.2127659574,-42426.4468085106,1.35899996758,-0.173999994993,3.96854826749746,-14.8017136426555,-14.3272716454651,1.61123346028025,26.7310911635762,3.23448707916573
26,2235,1674854350222.25,-39531.7941176471,-46998.1470588235,111505.882352941,125332.823529412,27254,-42467.7647058824,1.35899996758,-0.173999994993,6.0395398191177,-17.229444314228,-17.0491336847791,1.97311990489208,25.4034795606121,0.58147213179039
27,2236,1674854350255.58,-39311.125,-47402.1875,111029.5,125401.3125,27903.25,-42488.3125,1.35899996758,-0.173999994993,7.2331655134995,-17.1451688260807,-17.8688985366473,2.2770382267889,24.8223494743558,-0.321584165291165
28,2237,1674854350288.91,-39021.4468085106,-47773.829787234,110510.829787234,125477.255319149,28554.0425531915,-42594.085106383,1.34368083325319,-0.173999994993,8.21613924592312,-15.0572709555077,-17.4164332524448,2.35193790976252,22.8105971999743,-1.67654348761068
29,2238,1674854350322.24,-38734.65625,-48240.46875,109868.6875,125591.125,29315.3125,-42739.40625,1.32899999619,-0.173999994993,7.97217316178377,-12.4244667934064,-16.3735914527718,2.58327477383766,20.6151938531614,-2.71668514462256
30,2239,1674854350355.57,-38589.96,-48605.76,109393.6,125690.8,29853,-42881.64,1.305000019078,-0.173999994993,7.21236472026687,-12.0369341982882,-16.3606415638746,2.89516781063251,19.4994517220295,-3.93367246334523
31,2240,1674854350388.9,-38285.1818181818,-49185.2909090909,108759.345454545,125824.963636364,30563,-43154.1636363636,1.2990000248,-0.173999994993,7.36340059173307,-14.1160506779288,-17.5166357727928,3.47743840786329,20.0916316899659,-5.60135337033234
32,2241,1674854350422.23,-38034.7142857143,-49730.1428571429,108248.428571429,125932.142857143,31169.8571428571,-43315.5714285714,1.2990000248,-0.173999994993,7.00011384670757,-14.8982227335316,-16.2042065278593,3.41051893109943,18.5472970735946,-5.76222492159651
33,2242,1674854350455.56,-37874.075,-50155.425,107854.15,126015.175,31652.475,-43431.75,1.2990000248,-0.173999994993,7.1595609426813,-15.4981946474358,-15.3960323996461,3.24407288608706,17.9965428265842,-5.50164578016183
34,2243,1674854350488.89,-37551.24,-50983.04,107128.06,126171.7,32541.26,-43732.06,1.2990000248,-0.173999994993,7.34014675983316,-17.9792778498082,-16.3144766369208,3.46770836185243,19.7845674383627,-5.77953655429636
35,2244,1674854350522.22,-37426.2,-51526.2,106676,126297.9,33206.2,-43881.2,1.2990000248,-0.173999994993,6.08574893537029,-17.9623567168343,-15.7258503227131,3.65793473085422,20.3654527368713,-5.65684665078254
36,2245,1674854350555.55,-37335.2,-51994.8833333333,106338.033333333,126431.7,33965.95,-44060.2333333333,1.2990000248,-0.173999994993,5.38927629651333,-18.3963798548035,-15.1626473939511,4.16565680242205,23.1370094735814,-6.2854471465312
37,2246,1674854350588.88,-37303.8333333333,-52316.3333333334,106148.833333333,126539.5,34638.5,-44224.5,1.2990000248,-0.173999994993,2.47431059616526,-13.3342590532421,-9.79323689633427,3.67836711187507,20.9744975549818,-4.92489297909319
38,2247,1674854350622.21,-37306.3863636364,-52441.7954545455,106100.181818182,126607.022727273,35211.7045454545,-44236.6136363636,1.2990000248,-0.173999994993,1.19825567839694,-9.15687231743989,-5.75875805577493,3.091537076982,20.057053415373,-3.55449551485215
39,2248,1674854350655.54,-37285.8043478261,-52649.9347826087,106028.934782609,126695.173913043,36228.5434782609,-44107.4130434783,1.2990000248,-0.173999994993,0.494007062220744,-6.55117780238389,-3.09130125101123,2.63500435141522,22.6281938313676,-0.471855213573072
40,2249,1674854350688.87,-37289.4347826087,-52899.1304347826,105953.695652174,126758.086956522,36952.7826086957,-43883.8695652174,1.2990000248,-0.173999994993,0.143999569704374,-5.82854020787239,-1.95156739434729,2.18608304989042,23.1450863492954,3.40663702722334
41,2250,1674854350722.2,-37343.9565217391,-53097.9565217391,105919.304347826,126806.695652174,37310.7826086957,-43762.1304347826,1.2990000248,-0.173999994993,-0.375742268319274,-6.56226608222028,-1.80895387836843,1.99692782207531,20.9928569395527,4.74530434181367
42,2251,1674854350755.53,-37534.7446808511,-53434.2765957447,105946.744680851,126874.063829787,37607.8510638298,-43671.9361702128,1.29772343027277,-0.173999994993,-2.48965045388761,-7.8441987303786,-0.821983808591289,1.78907744261277,13.7944491933243,4.35520296282048
43,2252,1674854350788.86,-37885.65,-53786.25,106128.625,126942.375,37829.725,-43519.4,1.26900005341,-0.173999994993,-5.96273846630211,-8.8720766298937,1.74946180498138,1.84306398208041,8.77030661175456,3.64506053249282
44,2253,1674854350822.19,-38109.375,-53942.5,106294.125,126966.75,37891,-43448.625,1.26900005341,-0.173999994993,-7.65493233459452,-8.44625961264901,3.74857259328151,1.60069979660032,5.80274058692889,3.13536053537843
45,2254,1674854350855.52,-38207.6530612245,-54128.1020408163,106593.836734694,126984.816326531,38031.7551020408,-43293.2653061225,1.26900005341,-0.173999994993,-6.72974820456328,-6.93894567745694,6.47157448197134,1.10763445821732,4.23946470262907,3.7870898539753
46,2255,1674854350888.85,-38324.3488372093,-54467.2790697674,107174,126951.255813953,38487.6976744186,-42995.2093023256,1.26900005341,-0.173999994993,-4.38742403032693,-6.81096942673422,10.4547929297198,0.0888181365371573,6.58037966968205,5.24243031290797
47,2256,1674854350922.18,-38311.25,-54728.6875,107679.875,126878.3125,38858.4375,-42794.3125,1.26900005341,-0.173999994993,-2.01895436236788,-7.86265643286898,13.8588753596446,-0.88446004969553,9.67533016675555,6.54377542064693
48,2257,1674854350955.51,-38291.5862068966,-54954.6896551724,108122.827586207,126825.448275862,39072.2413793104,-42660.8275862069,1.26900005341,-0.173999994993,-0.839411990177346,-8.2666999931123,15.2914342654805,-1.59384002742345,10.4058946344513,6.32500465314471
49,2258,1674854350988.84,-38202.306122449,-55380.4285714286,108990.06122449,126743.857142857,39321.5102040816,-42539.3469387755,1.26900005341,-0.173999994993,1.22055432248698,-9.13243459588074,18.1624818957509,-2.07419911830943,8.3389735695368,4.55908753508887
50,2259,1674854351022.17,-38083.0769230769,-55749.6923076923,109757.461538462,126682.692307692,39442.2307692308,-42494.6923076923,1.26900005341,-0.173999994993,2.28195286291943,-10.211065943158,20.7779342395806,-1.95639834619011,5.83852793843337,2.99650995630004
51,2260,1674854351055.5,-37948.4791666667,-56085.1666666667,110471.958333333,126641.729166667,39452.0208333333,-42492.1875,1.26900005341,-0.173999994993,3.43141316686911,-11.3059029176761,23.4936614245425,-1.83737501994266,3.7981755892094,1.6865713773261
52,2261,1674854351088.83,-37921.8611111111,-56483.5555555556,111264.166666667,126597.222222222,39528.8333333333,-42493.1666666667,1.26900005341,-0.173999994993,2.80472708815049,-11.0323739288021,22.7433296048609,-1.46649419909534,2.07343127703032,0.461844663961184
53,2262,1674854351122.16,-37847.5,-56685.2857142857,111666.285714286,126555.142857143,39695.5,-42498.5714285714,1.26900005341,-0.173999994993,2.35600567162406,-9.35688680331105,19.0901869455374,-1.2756222563908,2.53293380000191,-0.0387944896701741
54,2263,1674854351155.49,-37839.612244898,-57159.8163265306,111997.448979592,126474.428571429,40024.387755102,-42510.8775510204,1.26900005341,-0.173999994993,1.08877262382238,-10.7475953332498,15.256449182293,-1.67317543859685,5.72424573541946,-0.186919341299446
55,2264,1674854351188.82,-37679.275,-58105.1,112411.5,126360.925,40482.55,-42528.075,1.25550001264,-0.173999994993,2.42609316518644,-16.2170481233665,11.474448687892,-2.36320583409054,9.53811000557558,-0.349117932411104
56,2265,1674854351222.15,-37555.2,-58639.6,112660.4,126302.2,40714.2,-42539.4,1.23899996281,-0.173999994993,2.92329514429708,-19.5451254721706,9.94215626040301,-2.5296858249705,10.1880359847109,-0.408327320977502
57,2266,1674854351255.48,-37343.8666666667,-59217.2888888889,113053.222222222,126224.8,40997.3777777778,-42571.2666666667,1.23899996281,-0.173999994993,4.95794904550297,-20.5767742262502,10.5587817892327,-2.49653381801519,9.73086747511847,-0.603950965603981
58,2267,1674854351288.81,-37023.84,-59912.36,113958.62,126121.86,41401.78,-42621.72,1.23899996281,-0.173999994993,6.55499922512165,-18.0744042305976,15.4727292406093,-2.39088778673449,9.19321474321131,-0.936542288762791
59,2268,1674854351322.14,-36891.9375,-60179.125,114678.6875,126076.125,41617.75,-42636.5,1.2138124480875,-0.173999994993,6.63328244333052,-15.3967731316297,20.1848989263919,-2.26097414833979,9.03639828054562,-0.971095916218743
60,2269,1674854351355.47,-36799.3846153846,-60237.3076923077,115202.730769231,126035.807692308,41764.1923076923,-42648,1.20799994469,-0.173999994993,5.44536194829022,-10.2012037859989,21.4972375545458,-1.89011100815958,7.66891003591695,-0.767409358286634
61,2270,1674854351388.8,-36709.1071428571,-60218.8928571429,116258.107142857,125973.803571429,41997.5714285714,-42658.4285714286,1.20799994469,-0.173999994993,3.14764562053809,-3.06564749156991,22.9971699908094,-1.480712236602,5.95851199142696,-0.367122648740069
62,2271,1674854351422.13,-36679.7894736842,-60214.6315789474,117170.315789474,125936.789473684,42140.2105263158,-42662.1052631579,1.20799994469,-0.173999994993,2.12168960692421,-0.355100155085153,24.9187831888289,-1.39349405784022,5.22512597766303,-0.256077908504333
63,2272,1674854351455.46,-36735.8571428571,-60234,117657.642857143,125915.035714286,42224.7857142857,-42663.6428571429,1.20799994469,-0.173999994993,0.635343024897386,0.0330818845815285,24.5515496144347,-1.20783885107355,4.60638816179301,-0.156444005853798
64,2273,1674854351488.79,-36827.7441860465,-60201.5348837209,118321.953488372,125883.465116279,42336.3953488372,-42665.8139534884,1.20799994469,-0.173999994993,-1.18648677605214,0.173600796339576,20.6405589184499,-0.903476211977189,3.38858254757926,-0.0738613493431801
65,2274,1674854351522.12,-36956.4090909091,-60214.7272727273,118928.068181818,125818.863636364,42440.9772727273,-42676.3863636364,1.20799994469,-0.173999994993,-2.76646895905795,-0.000953234108785709,17.5792536119779,-1.17937426557922,3.00796319088087,-0.14282499894417
66,2275,1674854351555.45,-37079.4,-60229.5333333333,119229.866666667,125763.066666667,42482.8666666667,-42688.2,1.20799994469,-0.173999994993,-3.435770826638,0.0446734073700395,15.7238222854306,-1.51984121072611,2.58106975679499,-0.245595571546498
67,2276,1674854351588.78,-37163.35,-60203.1,119471.1,125727.475,42490.125,-42696.5,1.20799994469,-0.173999994993,-3.35639206152433,-0.0156507549462875,11.4926051113093,-1.56005611910638,1.53744718462659,-0.306891042918728
68,2277,1674854351622.11,-37208.0731707317,-60115.0731707317,119828.731707317,125699.829268293,42487.9512195122,-42703.2195121951,1.20799994469,-0.173999994993,-2.51689273785992,0.996640284346812,9.00753256715328,-1.1904625439028,0.469785877048226,-0.268358300426884
69,2278,1674854351655.44,-37264.9743589744,-60041.9230769231,120133.948717949,125689.58974359,42474.8205128205,-42706.1538461538,1.20799994469,-0.173999994993,-1.8559351507429,1.87629309032332,9.04174352300707,-0.734844350042014,-0.0804698269936976,-0.179556819297617
70,2279,1674854351688.77,-37262.5,-60018,120285.75,125683,42465.5,-42708,1.20799994469,-0.173999994993,-0.991601004040625,1.85118613813168,8.14731799363134,-0.444794186976312,-0.246275012116802,-0.11501144652618
71,2280,1674854351722.1,-37303.4651162791,-60018.8372093023,120433.325581395,125669.76744186,42443.2325581395,-42696.9534883721,1.20032553340419,-0.173999994993,-0.954016789180643,0.96245896266236,6.04655158144433,-0.300648374559016,-0.447231250475971,0.0626661430312349
72,2281,1674854351755.43,-37372.0208333333,-59997,120800.270833333,125637.208333333,42368.8958333333,-42595.7291666667,1.1779999733,-0.173999994993,-1.07057431356044,0.44927624343683,6.66389880390806,-0.523867646464915,-1.05935569273213,1.10436205739811
73,2282,1674854351788.76,-37399.7407407407,-60058.3333333333,121175.666666667,125601.259259259,42269.5925925926,-42416.7407407407,1.1779999733,-0.173999994993,-1.37254646684614,-0.403371125472,8.90006269210882,-0.817489625329377,-1.95927085427442,2.91288446863566
74,2283,1674854351822.09,-37400.2272727273,-60101.1363636364,121459.954545455,125565.136363636,42197.6363636364,-42296.8636363636,1.1779999733,-0.173999994993,-0.967721090192612,-0.823070321728745,10.2673191871759,-1.04641535619124,-2.45620725417737,4.00129668638319
75,2284,1674854351855.42,-37407.1489361702,-60088.6170212766,121878.617021277,125519.446808511,42123.1914893617,-42136.2765957447,1.1779999733,-0.173999994993,-0.351315843567606,-0.916258774121556,10.7845457247013,-1.17773360802862,-2.45728886240973,4.59498620132198
76,2285,1674854351888.75,-37423.4666666667,-60155.4666666667,122226.666666667,125474.833333333,42075.5,-41987.6666666667,1.1779999733,-0.173999994993,-0.237282938432255,-0.971427282238626,10.5110571373986,-1.26438608121697,-1.94112094159577,4.29117156344481
77,2286,1674854351922.08,-37439.1538461538,-60232.9230769231,122388.576923077,125439.5,42060.7307692308,-41935.2692307692,1.1779999733,-0.173999994993,-0.389304259270715,-1.31799492626876,9.2871613925538,-1.25648968718886,-1.36919510759357,3.61630897409833
78,2287,1674854351955.41,-37457.4285714286,-60298.9285714286,122526.357142857,125411.214285714,42071.7857142857,-41871.6904761905,1.1779999733,-0.173999994993,-0.502846797337548,-2.10332573931839,6.47804392966714,-1.08243300623711,-0.514107146762499,2.64612426325064
79,2288,1674854351988.74,-37490.9047619048,-60355.1666666667,122640.5,125393.571428571,42085.7142857143,-41799.9523809524,1.1779999733,-0.173999994993,-0.674448155079992,-1.99719987394432,4.13874760028767,-0.812700484825471,0.102153642857885,1.87733084736929
80,2289,1674854352022.07,-37496.1666666667,-60379.5,122693.5,125385.166666667,42080.5,-41765.6666666667,1.1779999733,-0.173999994993,-0.570185225900556,-1.46591722164227,3.04953866812524,-0.54338847053857,0.19771242531975,1.69619594229673
81,2290,1674854352055.4,-37508.7346938776,-60407.1224489796,122750.142857143,125369.93877551,42079.0408163265,-41686.7959183674,1.1779999733,-0.173999994993,-0.513112253714773,-1.08204646745154,2.23807985442522,-0.412796529643089,0.0725579992652318,1.84913193479435
82,2291,1674854352088.73,-37541.037037037,-60449.8148148148,122831.592592593,125319.592592593,42097.2222222222,-41549.5925925926,1.1779999733,-0.173999994993,-0.501370267761387,-0.946572816409533,1.91111074082088,-0.739858039193615,0.115089165604431,2.50383812633301
83,2292,1674854352122.06,-37581.9142857143,-60493.5428571429,122914.628571429,125255.371428571,42122.6,-41398.1142857143,1.1779999733,-0.173999994993,-0.857561485467009,-1.14054205173837,2.21150594702528,-1.29808127853834,0.421041537605489,3.67588960617856
84,2293,1674854352155.39,-37629.2745098039,-60566.4705882353,123056.137254902,125135.137254902,42162.568627451,-41165.568627451,1.1779999733,-0.173999994993,-1.20551998310061,-1.59364243955784,3.06025331222679,-2.3482543513295,0.835363144526491,5.21280005139753
85,2294,1674854352188.72,-37656,-60614.75,123153.5,125049,42188.75,-41005.75,1.1779999733,-0.173999994993,-1.14974641532686,-1.6495179462006,3.21939778455322,-2.70619740489625,0.915370038245046,5.43897349886664
86,2295,1674854352222.05,-37663.5,-60660.4782608696,123251.934782609,124964.391304348,42224.9782608696,-40876.7826086957,1.1779999733,-0.173999994993,-0.815938885283383,-1.66952223167515,3.37340198971383,-2.91009412637936,1.02388626124689,5.21384070858115
87,2296,1674854352255.38,-37673.9791666667,-60737.8958333333,123416.958333333,124843.479166667,42290.5416666667,-40699.2083333333,1.17424997687625,-0.173999994993,-0.447089589081578,-1.71442535933999,3.6085753508361,-2.9168744783009,1.27986091704733,4.66406916429688
88,2297,1674854352288.71,-37679.9166666667,-60775.6666666667,123496.166666667,124795.083333333,42303.4166666667,-40640.8333333333,1.14800000191,-0.173999994993,-0.239191342167833,-1.60933284849474,3.42702063494133,-2.53942971222552,1.14678611372509,3.64954552173597
