,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z,PSMR_orientation_x,PSMR_orientation_y,PSMR_orientation_z,PSMR_orientation_w,PSMR_gripper_angle,PSML_position_x,PSML_position_y,PSML_position_z,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSML_orientation_x,PSML_orientation_y,PSML_orientation_z,PSML_orientation_w,PSML_gripper_angle
0,0.087476,0.0147799,0.027656,-3.1666666666652084e-05,-0.0013799999999999865,0.00047833333333500283,0.254367,-0.595329,-0.275778,0.710511,1.0226972,-0.085293,0.00873034,0.0249074,0.012286666666666788,-0.007599166666666669,0.0071950000000000035,0.508703,-0.234447,0.8045329999999999,-0.19744,1.0226972
1,0.08747510000000001,0.0147556,0.027669,-0.00010500000000001247,-0.0011916666666666438,0.0003716666666666567,0.254382,-0.594978,-0.275582,0.7108770000000001,1.0226972,-0.0850192,0.00853569,0.0249945,0.013608333333333295,-0.008205499999999984,0.0070316666666666566,0.486791,-0.24427600000000002,0.816176,-0.192928,1.0226972
2,0.087476,0.014737700000000001,0.0276875999999999,-2.8333333331603816e-05,-0.0011700000000000193,0.0006966666666666347,0.254481,-0.594871,-0.275502,0.710962,1.0226972,-0.0847269,0.00839393,0.0250026,0.01454666666666678,-0.008079499999999983,0.0037716666666666454,0.46584,-0.2509699999999999,0.8273870000000001,-0.188249,1.0226972
3,0.0874775,0.014725700000000001,0.027699900000000003,2.5000000000025002e-05,-0.0009033333333333463,0.0007316666666666582,0.2544389999999999,-0.59483,-0.275406,0.7110489999999999,1.0226972,-0.0844174999999999,0.00829725,0.0248922,0.014591666666668309,-0.007218166666666647,-0.000253333333333332,0.446626,-0.256483,0.837471,-0.18271300000000001,1.0226972
4,0.0874771,0.0147176,0.0277082999999999,3.333333333336667e-05,-0.0006333333333333308,0.0006549999999983652,0.254407,-0.594869,-0.27529000000000003,0.711072,1.0226972,-0.0840176,0.0082476,0.0246437,0.016693333333333418,-0.004801499999999992,-0.005846666666666639,0.431892,-0.262228,0.844493,-0.177589,1.0226972
5,0.0874753,0.0147096,0.027716300000000003,-1.1666666666539559e-05,-0.00046833333333332766,0.00047833333333500283,0.254392,-0.594825,-0.275298,0.7111109999999999,1.0226972,-0.0835891999999999,0.00820201,0.0243144,0.018961666666668143,-0.003198666666666695,-0.011470000000000001,0.421785,-0.269467,0.848145,-0.173595,1.0226972
6,0.08747100000000001,0.0147032999999999,0.0277185,-0.00010833333333344168,-0.00037333333333499036,0.0003100000000000093,0.2544099999999999,-0.594813,-0.27528,0.711121,1.0226972,-0.0831288,0.00813269,0.0239725,0.021478333333331545,-0.0027426666666666853,-0.015328333333333315,0.41395,-0.274928,0.850975,-0.170005,1.0226972
7,0.0874664,0.0146978999999999,0.0277192,-0.0001783333333333729,-0.00032833333333502634,0.00018166666666830555,0.254367,-0.5948180000000001,-0.2751889999999999,0.711167,1.0226972,-0.0827279,0.00798522,0.0237168,0.02149500000000008,-0.004373000000000022,-0.015448333333333356,0.404633,-0.281405,0.854248,-0.165357,1.0226972
8,0.0874631999999999,0.0146964,0.0277178,-0.0002016666666685337,-0.00021999999999999448,2.5000000000025002e-05,0.25437600000000005,-0.5948220000000001,-0.27518200000000004,0.711164,1.0226972,-0.0823332,0.00780726,0.0235565,0.020933333333331836,-0.006579166666666654,-0.012631666666666649,0.394908,-0.283354,0.859441,-0.158492,1.0226972
9,0.08746430000000001,0.0146937999999999,0.027718200000000002,-0.00011166666666663955,-0.00015833333333334712,-5.000000000028131e-06,0.254382,-0.594817,-0.27517600000000003,0.711168,1.0226972,-0.0820549999999999,0.00757306,0.0235722999999999,0.01789666666666828,-0.009327166666666655,-0.006670000000001675,0.38313200000000003,-0.286594,0.865416,-0.148757,1.0226972
10,0.0874636999999999,0.0146915,0.027717000000000002,-4.500000000175661e-05,-0.00010666666666499236,-3.666666666668021e-05,0.254391,-0.594819,-0.275169,0.711167,1.0226972,-0.08165850000000001,0.00729169,0.0236443,0.017823333333333302,-0.011558833333333324,-0.0012083333333333278,0.373675,-0.286184,0.871199,-0.13956400000000002,1.0226972
11,0.0874636999999999,0.0146915,0.027717000000000002,8.333333333341665e-06,-8.166666666667317e-05,-1.3333333333369796e-05,0.254391,-0.594819,-0.275169,0.711167,1.0226972,-0.0812548999999999,0.00687101,0.0237804,0.017971666666668357,-0.015604166666666659,0.0037316666666666522,0.360408,-0.29164,0.876192,-0.131676,1.0226972
12,0.0874636,0.0146903,0.0277173,-1.1666666666539557e-05,-5.8333333331656946e-05,-1.4999999999968741e-05,0.254365,-0.594805,-0.27519,0.71118,1.0226972,-0.0809655,0.00646324,0.0239746,0.018158333333331837,-0.018497,0.00670500000000164,0.344456,-0.294869,0.8823559999999999,-0.125896,1.0226972
13,0.0874626999999999,0.0146907999999999,0.0277188,-1.6666666666683334e-05,-1.1666666668332104e-05,2.9999999999995315e-05,0.254362,-0.594802,-0.275192,0.711182,1.0226972,-0.0806634,0.00606522,0.0242858,0.016584999999999978,-0.020441166666666673,0.010691666666666662,0.322257,-0.29456,0.891735,-0.1191349999999999,1.0226972
