Start Stop Motion Primitive
0 49 Touch(L, Ball/Block/Sleeve)
50 79 Grasp(L, Ball/Block/Sleeve)
80 89 Pull(L, Ball/Block/Sleeve)
90 129 Idle(L)
130 159 Release(L, Ball/Block/Sleeve)
160 209 Touch(L, Ball/Block/Sleeve)
210 239 Untouch(L, Ball/Block/Sleeve)
240 319 Touch(L, Ball/Block/Sleeve)
320 379 Grasp(L, Ball/Block/Sleeve)
380 419 Pull(L, Ball/Block/Sleeve)
420 539 Touch(Ball/Block/Sleeve, Peg)
540 549 Release(L, Ball/Block/Sleeve)
550 629 Touch(L, Ball/Block/Sleeve)
630 659 Grasp(L, Ball/Block/Sleeve)
660 669 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
670 719 Touch(Ball/Block/Sleeve, Peg)
720 739 Release(L, Ball/Block/Sleeve)
740 759 Untouch(L, Ball/Block/Sleeve)
760 789 Touch(L, Ball/Block/Sleeve)
790 819 Untouch(L, Ball/Block/Sleeve)
820 839 Touch(L, Ball/Block/Sleeve)
840 899 Grasp(L, Ball/Block/Sleeve)
900 909 Pull(L, Ball/Block/Sleeve)
910 969 Idle(L)
970 979 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
980 1039 Touch(Ball/Block/Sleeve, Peg)
1040 1059 Release(L, Ball/Block/Sleeve)
1060 1069 Untouch(L, Ball/Block/Sleeve)
1070 1119 Touch(L, Ball/Block/Sleeve)
1120 1129 Untouch(L, Ball/Block/Sleeve)
1130 1219 Touch(L, Ball/Block/Sleeve)
1220 1239 Untouch(L, Ball/Block/Sleeve)
1240 1269 Touch(L, Ball/Block/Sleeve)
1270 1289 Grasp(L, Ball/Block/Sleeve)
1290 1299 Pull(L, Ball/Block/Sleeve)
1300 1329 Idle(L)
1330 1339 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
1340 1419 Touch(Ball/Block/Sleeve, Peg)
1420 1429 Untouch(Ball/Block/Sleeve, Peg)
1430 1439 Touch(Ball/Block/Sleeve, Peg)
1440 1459 Release(L, Ball/Block/Sleeve)
1460 1559 Touch(L, Ball/Block/Sleeve)
1560 1579 Grasp(L, Ball/Block/Sleeve)
1580 1589 Pull(L, Ball/Block/Sleeve)
1590 1609 Idle(L)
1610 1699 Release(L, Ball/Block/Sleeve)
1700 1789 Touch(L, Ball/Block/Sleeve)
1790 1839 Grasp(L, Ball/Block/Sleeve)
1840 1849 Pull(L, Ball/Block/Sleeve)
1850 1899 Touch(Ball/Block/Sleeve, Peg)
1900 1969 Release(L, Ball/Block/Sleeve)
1970 1979 Untouch(L, Ball/Block/Sleeve)
1980 2309 Touch(L, Ball/Block/Sleeve)
2310 2319 Untouch(L, Ball/Block/Sleeve)
2320 2529 Touch(L, Ball/Block/Sleeve)
2530 2569 Untouch(L, Ball/Block/Sleeve)
2570 2579 Grasp(L, Ball/Block/Sleeve)
2580 2599 Pull(L, Ball/Block/Sleeve)
2600 2629 Release(L, Ball/Block/Sleeve)
2630 2699 Touch(L, Ball/Block/Sleeve)
2700 2729 Grasp(L, Ball/Block/Sleeve)
2730 2749 Pull(L, Ball/Block/Sleeve)
2750 2819 Idle(L)
2820 2839 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
2840 2929 Touch(Ball/Block/Sleeve, Peg)
2930 2949 Release(L, Ball/Block/Sleeve)
2950 2959 Untouch(L, Ball/Block/Sleeve)
2960 3069 Touch(L, Ball/Block/Sleeve)
3070 3129 Grasp(L, Ball/Block/Sleeve)
3130 3149 Pull(L, Ball/Block/Sleeve)
3150 3339 Touch(Ball/Block/Sleeve, Peg)
3340 3349 Release(L, Ball/Block/Sleeve)
3350 3369 Untouch(L, Ball/Block/Sleeve)
