Start Stop Motion Primitive
0 84 Touch(L, Ball/Block/Sleeve)
85 99 Grasp(L, Ball/Block/Sleeve)
100 119 Touch(R, Ball/Block/Sleeve)
120 129 Untouch(R, Ball/Block/Sleeve)
130 139 Touch(R, Ball/Block/Sleeve)
140 154 Untouch(R, Ball/Block/Sleeve)
155 159 Touch(R, Ball/Block/Sleeve)
160 174 Untouch(R, Ball/Block/Sleeve)
175 179 Touch(R, Ball/Block/Sleeve)
180 184 Untouch(R, Ball/Block/Sleeve) Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
185 244 Touch(Ball/Block/Sleeve, Peg)
245 264 Release(L, Ball/Block/Sleeve)
265 274 Untouch(L, Ball/Block/Sleeve)
275 329 Touch(L, Ball/Block/Sleeve)
330 339 Grasp(L, Ball/Block/Sleeve)
340 344 Pull(L, Ball/Block/Sleeve)
345 359 Release(L, Ball/Block/Sleeve)
360 384 Touch(L, Ball/Block/Sleeve)
385 394 Untouch(L, Ball/Block/Sleeve)
395 414 Touch(L, Ball/Block/Sleeve)
415 424 Grasp(L, Ball/Block/Sleeve)
425 444 Touch(R, Ball/Block/Sleeve)
445 459 Untouch(R, Ball/Block/Sleeve)
460 469 Touch(R, Ball/Block/Sleeve)
470 494 Untouch(R, Ball/Block/Sleeve) Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
495 564 Touch(Ball/Block/Sleeve, Peg)
565 589 Release(L, Ball/Block/Sleeve)
590 594 Untouch(L, Ball/Block/Sleeve)
595 634 Touch(L, Ball/Block/Sleeve)
635 644 Untouch(L, Ball/Block/Sleeve)
645 654 Touch(L, Ball/Block/Sleeve)
655 664 Grasp(L, Ball/Block/Sleeve)
665 669 Pull(L, Ball/Block/Sleeve)
670 679 Touch(R, Ball/Block/Sleeve)
680 704 Untouch(R, Ball/Block/Sleeve)
705 709 Touch(R, Ball/Block/Sleeve)
710 719 Untouch(R, Ball/Block/Sleeve)
720 739 Touch(R, Ball/Block/Sleeve)
740 749 Untouch(R, Ball/Block/Sleeve)
750 794 Touch(R, Ball/Block/Sleeve)
795 799 Untouch(R, Ball/Block/Sleeve)
800 804 Release(L, Ball/Block/Sleeve)
805 829 Touch(L, Ball/Block/Sleeve)
830 834 Grasp(L, Ball/Block/Sleeve)
835 839 Pull(L, Ball/Block/Sleeve)
840 884 Touch(Ball/Block/Sleeve, Peg)
885 904 Untouch(Ball/Block/Sleeve, Peg)
905 929 Touch(Ball/Block/Sleeve, Peg)
930 959 Release(L, Ball/Block/Sleeve)
960 964 Untouch(L, Ball/Block/Sleeve)
965 1004 Touch(L, Ball/Block/Sleeve)
1005 1009 Grasp(L, Ball/Block/Sleeve)
1010 1014 Pull(L, Ball/Block/Sleeve)
1015 1029 Touch(R, Ball/Block/Sleeve) Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
1030 1039 Untouch(R, Ball/Block/Sleeve)
1040 1074 Touch(Ball/Block/Sleeve, Peg)
1075 1089 Release(L, Ball/Block/Sleeve)
1090 1094 Untouch(L, Ball/Block/Sleeve)
1095 1139 Touch(L, Ball/Block/Sleeve)
1140 1144 Grasp(L, Ball/Block/Sleeve)
1145 1149 Release(L, Ball/Block/Sleeve)
1150 1179 Touch(L, Ball/Block/Sleeve)
1180 1184 Grasp(L, Ball/Block/Sleeve)
1185 1189 Pull(L, Ball/Block/Sleeve)
1190 1224 Touch(Ball/Block/Sleeve, Peg)
1225 1239 Release(L, Ball/Block/Sleeve)
1240 1249 Untouch(L, Ball/Block/Sleeve)
1250 1284 Touch(L, Ball/Block/Sleeve)
1285 1289 Grasp(L, Ball/Block/Sleeve)
1290 1294 Pull(L, Ball/Block/Sleeve)
1295 1304 Release(L, Ball/Block/Sleeve)
1305 1314 Touch(L, Ball/Block/Sleeve)
1315 1334 Grasp(L, Ball/Block/Sleeve)
1335 1339 Pull(L, Ball/Block/Sleeve)
1340 1364 Touch(Ball/Block/Sleeve, Peg)
1365 1374 Release(L, Ball/Block/Sleeve)
1375 1404 Untouch(L, Ball/Block/Sleeve)
1405 1439 Touch(L, Ball/Block/Sleeve)
1440 1449 Grasp(L, Ball/Block/Sleeve)
1450 1454 Release(L, Ball/Block/Sleeve)
1455 1494 Touch(L, Ball/Block/Sleeve)
1495 1504 Grasp(L, Ball/Block/Sleeve)
1505 1509 Pull(L, Ball/Block/Sleeve)
1510 1514 Touch(R, Ball/Block/Sleeve)
1515 1519 Untouch(R, Ball/Block/Sleeve) Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
1520 1559 Touch(Ball/Block/Sleeve, Peg)
1560 1574 Release(L, Ball/Block/Sleeve)
