PSML_position_x,PSML_position_y,PSML_position_z,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSML_orientation_x,PSML_orientation_y,PSML_orientation_z,PSML_orientation_w,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z,PSMR_orientation_x,PSMR_orientation_y,PSMR_orientation_z,PSMR_orientation_w,PSMR_gripper_angle
0.1015853,-0.0359366,0.08583160000000001,-0.0007193782191616877,-0.00046602299392069934,-0.0003740529333111366,-0.4681396,-0.4087538,0.7622846,0.180798,0.83697499,-0.0326937,-0.0281455,0.0651273,6.348032283903881e-05,-9.926198525698143e-05,8.714248994776549e-05,0.3126719,-0.1472506,0.8240683000000001,-0.4488485,0.98692485
0.1015482,-0.035848000000000005,0.0858136,-0.0014213824989104734,0.0013512989464427617,0.0002347626072797572,-0.4634524,-0.4073383,0.7658857,0.1808496,0.83713834,-0.0326944,-0.0281437,0.0651298,5.046633362812295e-05,-1.285306652261844e-05,1.2160397730569247e-05,0.3126498,-0.1472101,0.824075,-0.4488648,0.98708819
0.1014158,-0.0356582,0.0857835,-0.002638411741395379,0.004592721195007972,-0.0006417046472993877,-0.4541351,-0.4034536,0.7748672,0.174835,0.85510619,-0.0326943,-0.0281449,0.0651291,5.156106343681479e-05,-3.511955018139279e-05,3.4741363573460416e-07,0.3126685,-0.1472467,0.8240696,-0.4488497,0.9882315999999999
0.101333,-0.0355566,0.08577380000000001,-0.0026658426465907582,0.004203564643374485,-0.0006727058226370038,-0.4460496,-0.4013712,0.7822045,0.1676217,0.84791905,-0.0326947,-0.028149200000000006,0.0651282,-1.2436249353856484e-05,-2.1531789628504453e-05,2.1788349172296544e-05,0.3126848,-0.1472884,0.8240674000000001,-0.4488288,0.98692485
0.1012669,-0.0354254,0.0857216,-0.0028082763954574565,0.004266369911781451,-0.0009512555040467873,-0.4386129,-0.4011237,0.7873053000000001,0.1639174,0.8588631,-0.0326948,-0.028146800000000003,0.06512949999999999,-3.1878012604235814e-06,-2.3017877800896776e-05,-1.4317429717269952e-06,0.3126841,-0.1472825,0.8240661,-0.4488335,0.98708819
0.1011928,-0.0352885,0.0855822,-0.0021307333153808006,0.0036146221363908466,-0.002073833041126055,-0.4314396,-0.3976279,0.7951329,0.153348,0.8477556999999999,-0.0326923,-0.028148400000000007,0.0651298,2.175927684893392e-05,-2.6547877163643442e-05,9.35638263974836e-06,0.31266609999999995,-0.1472518,0.8240728,-0.4488439,0.98692485
0.1011995,-0.0352601,0.0855457,-0.001385497650636787,0.0031053492404255804,-0.0023990422021813976,-0.4187113,-0.3931454,0.8065074000000001,0.1402261,0.84122194,-0.0326924,-0.0281494,0.0651294,2.3894963251500036e-05,-2.759462077908787e-06,1.2225509111509183e-05,0.31276820000000005,-0.14713289999999998,0.8241255,-0.448715,0.98774157
0.1011626,-0.0351549,0.08546489999999997,-0.0010696326411194232,0.0028004754567206697,-0.0026702291112590247,-0.410307,-0.3951376,0.811126,0.1326238,0.84987918,-0.0326942,-0.0281474,0.06513139999999999,6.794888350438796e-06,-7.574420621818651e-06,1.8855643455740104e-05,0.3127828,-0.14715970000000006,0.8241202,-0.4487058,0.98774157
0.1010814,-0.0350496,0.085376,-0.0010961572090034154,0.0024097944708522294,-0.002092252357188869,-0.4087282,-0.3972987,0.8115019,0.1286844,0.84040522,-0.0326947,-0.0281493,0.06513189999999999,-2.416319884455048e-05,-9.589524806582605e-06,2.064690578242738e-05,0.3127618,-0.14712809999999998,0.8241287,-0.4487151,0.98757822
0.1007252,-0.0345748,0.08502610000000001,-0.00491737813393437,0.00709030392704801,-0.005369242708527112,-0.4020323,-0.3882233,0.8218489,0.1105306,0.85379943,-0.0326957,-0.028153,0.06513279999999999,-3.3576450386843446e-05,-3.744835095033526e-05,3.454010238605318e-05,0.3127748,-0.14716600000000002,0.8241277,-0.4486954000000001,0.98741488
